last_review_month,price,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
12,850.0,True,False,False,False
9,969.0,True,False,False,False
11,474.0,True,False,False,False
11,2200.0,True,False,False,False
11,1500.0,True,False,False,False
11,900.0,True,False,False,False
12,1837.0,True,False,False,False
6,750.0,False,False,True,False
9,2331.0,False,False,True,False
2,760.0,True,False,False,False
11,614.0,True,False,False,False
8,1603.0,False,False,True,False
11,900.0,True,False,False,False
12,1800.0,True,False,False,False
11,417.0,False,False,False,True
10,731.0,False,False,True,False
2,950.0,True,False,False,False
7,900.0,True,False,False,False
7,512.0,False,False,True,False
6,1436.0,True,False,False,False
7,1000.0,False,False,True,False
4,3000.0,True,False,False,False
8,8286.0,True,False,False,False
10,6696.0,True,False,False,False
12,8469.0,True,False,False,False
9,780.0,True,False,False,False
8,1469.0,True,False,False,False
7,2371.0,False,False,True,False
4,8286.0,True,False,False,False
12,990.0,False,False,True,False
12,1150.0,True,False,False,False
6,8286.0,True,False,False,False
3,1050.0,False,False,True,False
5,8286.0,True,False,False,False
12,1150.0,True,False,False,False
12,2995.0,True,False,False,False
12,900.0,False,False,True,False
1,1537.0,False,False,True,False
12,2391.0,True,False,False,False
3,926.0,True,False,False,False
5,900.0,True,False,False,False
11,922.0,True,False,False,False
12,2220.0,True,False,False,False
11,2100.0,True,False,False,False
12,994.0,True,False,False,False
3,1590.0,True,False,False,False
10,1760.0,False,False,True,False
12,1025.0,True,False,False,False
12,969.0,True,False,False,False
12,1259.0,True,False,False,False
12,1846.0,True,False,False,False
2,790.0,False,False,True,False
5,3415.0,False,False,True,False
10,1708.0,True,False,False,False
1,900.0,True,False,False,False
12,675.0,True,False,False,False
12,1530.0,True,False,False,False
12,7987.0,True,False,False,False
7,1800.0,True,False,False,False
7,2220.0,False,False,True,False
12,1179.0,True,False,False,False
5,1537.0,True,False,False,False
12,854.0,False,False,True,False
10,1221.0,True,False,False,False
2,4500.0,True,False,False,False
1,3000.0,True,False,False,False
8,760.0,True,False,False,False
11,1440.0,True,False,False,False
5,747.0,True,False,False,False
3,512.0,False,False,True,False
1,490.0,False,False,True,False
12,1150.0,True,False,False,False
10,969.0,True,False,False,False
12,1069.0,True,False,False,False
11,400.0,False,False,False,True
11,969.0,True,False,False,False
12,969.0,True,False,False,False
9,969.0,True,False,False,False
2,2000.0,False,False,True,False
6,450.0,False,False,True,False
3,751.0,True,False,False,False
6,1243.0,True,False,False,False
11,3000.0,True,False,False,False
11,1143.0,False,False,True,False
10,1807.0,True,False,False,False
11,1950.0,True,False,False,False
11,1950.0,True,False,False,False
12,2150.0,False,False,True,False
1,1690.0,True,False,False,False
10,789.0,True,False,False,False
12,1615.0,True,False,False,False
1,969.0,True,False,False,False
6,969.0,True,False,False,False
7,969.0,True,False,False,False
6,900.0,False,True,False,False
12,1837.0,True,False,False,False
12,1837.0,True,False,False,False
12,1025.0,False,False,True,False
11,1020.0,True,False,False,False
8,987.0,True,False,False,False
11,800.0,True,False,False,False
12,2300.0,True,False,False,False
12,1150.0,True,False,False,False
1,969.0,True,False,False,False
3,1143.0,True,False,False,False
11,5066.0,True,False,False,False
4,1290.0,True,False,False,False
10,969.0,True,False,False,False
10,1390.0,False,False,True,False
5,980.0,True,False,False,False
11,455.0,True,False,False,False
9,1100.0,True,False,False,False
12,969.0,True,False,False,False
3,714.0,True,False,False,False
12,1122.0,True,False,False,False
11,491.0,True,False,False,False
12,936.0,True,False,False,False
7,1100.0,True,False,False,False
12,1145.0,True,False,False,False
12,860.0,True,False,False,False
3,1200.0,True,False,False,False
12,886.0,True,False,False,False
5,1800.0,True,False,False,False
11,2200.0,False,False,True,False
12,2391.0,True,False,False,False
4,1628.0,True,False,False,False
1,12900.0,True,False,False,False
8,570.0,False,False,True,False
12,2049.0,True,False,False,False
6,969.0,True,False,False,False
9,973.0,True,False,False,False
12,700.0,True,False,False,False
2,1000000.0,True,False,False,False
4,700.0,False,False,True,False
11,700.0,False,False,True,False
7,14343.0,True,False,False,False
12,2600.0,True,False,False,False
12,1224.0,True,False,False,False
2,1290.0,True,False,False,False
11,664.0,True,False,False,False
12,1400.0,True,False,False,False
12,4303.0,True,False,False,False
3,765.0,True,False,False,False
11,512.0,True,False,False,False
12,490.0,False,False,False,True
3,764.0,True,False,False,False
5,683.0,True,False,False,False
11,540.0,True,False,False,False
11,550.0,True,False,False,False
7,3180.0,True,False,False,False
12,990.0,True,False,False,False
12,854.0,False,False,True,False
1,9999.0,True,False,False,False
9,4500.0,False,False,True,False
11,900.0,False,False,True,False
12,1450.0,True,False,False,False
6,924.0,True,False,False,False
12,1600.0,True,False,False,False
12,1617.0,True,False,False,False
10,2179.0,True,False,False,False
11,1200.0,True,False,False,False
6,1290.0,True,False,False,False
7,490.0,False,False,False,True
2,3033.0,True,False,False,False
12,880.0,False,False,True,False
12,2220.0,False,False,True,False
5,1708.0,False,False,True,False
8,2117.0,True,False,False,False
11,1000.0,True,False,False,False
8,2051.0,False,False,True,False
6,3000.0,False,False,True,False
1,2700.0,False,False,True,False
11,1800.0,True,False,False,False
12,600.0,True,False,False,False
12,1500.0,True,False,False,False
6,2742.0,False,False,True,False
7,555.0,False,False,True,False
10,2100.0,True,False,False,False
12,1981.0,True,False,False,False
11,20704.0,False,False,True,False
12,1981.0,True,False,False,False
6,1200.0,True,False,False,False
12,3912.0,True,False,False,False
10,3000.0,True,False,False,False
11,1914.0,True,False,False,False
6,4086.0,True,False,False,False
11,1366.0,True,False,False,False
12,3415.0,False,False,True,False
8,481.0,True,False,False,False
10,2261.0,True,False,False,False
11,580.0,True,False,False,False
12,850.0,True,False,False,False
11,893.0,False,False,True,False
2,950.0,False,False,True,False
11,610.0,True,False,False,False
4,854.0,False,False,True,False
12,1419.0,True,False,False,False
11,958.0,True,False,False,False
11,945.0,True,False,False,False
9,1010.0,True,False,False,False
4,3074.0,False,False,True,False
11,660.0,False,False,True,False
8,26640.0,True,False,False,False
12,854.0,False,True,False,False
12,911.0,True,False,False,False
12,904.0,True,False,False,False
12,899.0,True,False,False,False
12,1200.0,True,False,False,False
5,905.0,True,False,False,False
12,903.0,True,False,False,False
1,4730.0,False,False,True,False
10,890.0,True,False,False,False
4,3750.0,True,False,False,False
12,9676.0,True,False,False,False
11,890.0,False,False,True,False
12,384.0,False,True,False,False
11,3450.0,True,False,False,False
5,960.0,True,False,False,False
4,6491.0,False,False,True,False
12,780.0,False,False,True,False
1,884.0,True,False,False,False
5,7500.0,False,True,False,False
12,8000.0,False,False,True,False
8,914.0,True,False,False,False
11,2267.0,True,False,False,False
12,1503.0,True,False,False,False
10,870.0,False,False,True,False
6,900.0,False,False,True,False
12,1570.0,True,False,False,False
10,1200.0,True,False,False,False
5,1100.0,True,False,False,False
10,675.0,True,False,False,False
6,5000.0,False,False,True,False
4,1366.0,False,False,True,False
2,900.0,False,False,True,False
11,2600.0,True,False,False,False
7,850.0,True,False,False,False
12,3825.0,True,False,False,False
7,3000.0,True,False,False,False
